Branch_code,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
PRA,PERODUA,1,60,0.044000000000000004,9,45000
BKI,PROTON,1,108,0.0492,4,35600
SRB,HONDA,1,108,0.0388,6,110000
BTP,PERODUA,1,84,0.0446,9,50400
BTP,PERODUA,1,108,0.0455,4,50000
MLK,PERODUA,1,108,0.0505,5,21700
BDR,PERODUA,1,60,0.0474,9,30000
PCJ,PROTON,1,60,0.0393,6,70000
BHU,PERODUA,1,108,0.0483,5,50200
KRP,PROTON,1,84,0.0467,5,29200
LKT,TOYOTA,1,108,0.0403,8,79900
KTU,PERODUA,1,108,0.0498,5,40000
MLK,PERODUA,1,108,0.0468,5,36400
RHP,NISSAN,1,108,0.0387,5,132600
BKI,PERODUA,1,48,0.0479,4,29000
TPI,PERODUA,1,108,0.0463,5,41000
KMA,PERODUA,1,108,0.047,7,34900
PAP,PERODUA,1,84,0.0456,7,38900
SPM,RENAULT,1,108,0.0389,7,97000
JKN,PERODUA,1,84,0.0408,7,64000
BTP,PERODUA,1,108,0.0487,4,44500
KMM,PERODUA,1,108,0.0472,5,34500
BTP,PERODUA,1,84,0.0466,10,45000
TPI,PROTON,1,108,0.048,6,36000
BTP,PERODUA,1,108,0.0505,10,23000
STP,PROTON,1,108,0.0404,6,90500
BKI,PERODUA,1,108,0.049,6,39400
MLK,PERODUA,1,84,0.0465,8,49000
KMA,HONDA,1,108,0.0405,10,85000
BKI,PERODUA,1,108,0.049,3,39200
MUR,PROTON,1,36,0.0485,6,30000
SS2,VOLKSWAGEN,1,84,0.0384,9,183000
PCJ,HONDA,1,108,0.0395,6,75800
BBM,PROTON,1,60,0.042,7,50000
KBH,FORD,0,108,0.0409,6,98000
BKI,TOYOTA,1,108,0.0391,4,83700
MLR,PROTON,1,108,0.0475,6,46000
TPI,PERODUA,1,108,0.0465,5,35800
BTU,PERODUA,1,108,0.0464,7,51800
BTP,TOYOTA,1,72,0.0394,8,100000
JLG,PROTON,1,108,0.0479,4,34000
PCJ,PROTON,1,108,0.0482,5,46000
TPI,TOYOTA,1,24,0.0422,9,62000
PCJ,PERODUA,1,60,0.046,5,30000
SJR,PERODUA,1,108,0.0483,6,50400
SBW,PROTON,1,60,0.0391,6,90000
MUR,HONDA,1,108,0.0399,5,80000
TSS,MAZDA,1,108,0.0385,9,140000
PJA,KIA,1,60,0.0397,9,88000
SGG,PERODUA,1,108,0.0487,4,39000
RHP,PERODUA,1,108,0.0419,5,73600
TMD,PERODUA,1,60,0.0478,10,33300
JIP,HONDA,0,108,0.0404,7,138900
TMP,HONDA,1,60,0.0403,9,64000
TMD,PROTON,1,36,0.0447,9,60000
KTN,PROTON,0,108,0.049,5,45200
BKI,PROTON,1,108,0.049,5,36500
KLA,TOYOTA,1,60,0.0382,9,153000
PCJ,BMW,1,108,0.0389,9,207000
MTB,MITSUBISHI,1,108,0.0387,6,127800
PCH,PERODUA,1,60,0.0502,5,23500
SS2,VOLKSWAGEN,0,84,0.0391,9,140000
TSS,NISSAN,0,84,0.0407,6,110000
BKI,PROTON,1,108,0.048,6,38000
TSQ,PERODUA,1,84,0.0458,6,40000
KRP,PERODUA,1,108,0.0508,5,23000
SRE,NISSAN,0,108,0.04,7,102000
MLK,HONDA,1,108,0.0396,9,133600
AIT,PROTON,1,84,0.0454,6,41500
PAP,PERODUA,1,108,0.0485,5,50000
DUT,PERODUA,1,108,0.0421,5,60300
DUT,PERODUA,1,108,0.042,5,67600
RHP,PROTON,1,108,0.0487,10,39000
TAI,NISSAN,1,108,0.0399,5,125000
BKI,PERODUA,1,84,0.0459,6,34000
SS2,PERODUA,1,108,0.0478,9,52800
BBD,PERODUA,1,108,0.0507,4,38900
KTA,PERODUA,1,84,0.0455,5,47400
BTP,PERODUA,1,84,0.0453,10,36000
TIN,HONDA,1,84,0.0388,6,100000
NBJ,FORD,0,108,0.0402,7,115700
SPP,PERODUA,1,84,0.0473,5,32000
IPG,NISSAN,1,108,0.0397,7,50000
TSS,TOYOTA,1,108,0.0391,6,78000
TPI,TOYOTA,1,60,0.0399,8,60000
MUR,PERODUA,1,84,0.0495,6,28000
TPI,PERODUA,1,84,0.0486,10,37000
STT,PERODUA,1,108,0.0468,6,39000
SS2,HONDA,1,108,0.0399,6,64000
SRE,PERODUA,1,60,0.0462,6,29000
KMA,VOLKSWAGEN,1,108,0.0338,6,154000
PLG,FORD,1,108,0.0397,8,185000
BTG,PROTON,1,84,0.0458,5,35000
PCJ,HONDA,1,108,0.0391,6,110000
TPI,PROTON,1,108,0.0479,6,36900
BKI,PROTON,1,108,0.048,7,37500
SRB,NISSAN,1,108,0.0399,8,127000
TSG,PERODUA,1,108,0.0485,3,43300
KC1,PERODUA,1,108,0.0415,5,69000
KMA,PERODUA,1,108,0.0418,7,72400
LBN,TOYOTA,0,108,0.042,10,62000
BBM,PERODUA,1,108,0.0467,5,49900
SLR,NISSAN,0,108,0.0401,9,132000
TPI,PERODUA,1,84,0.0467,7,43300
DCM,TOYOTA,1,84,0.0393,6,83700
CHG,PERODUA,1,60,0.0406,9,55000
SNG,PERODUA,1,60,0.0462,6,35000
BTP,PERODUA,1,108,0.0475,4,31000
KTA,PERODUA,1,60,0.0415,6,50000
TMP,TOYOTA,1,108,0.0406,6,77900
TAB,PERODUA,1,60,0.0417,10,45000
CHG,PROTON,1,108,0.0404,6,92000
SRD,TOYOTA,1,60,0.0396,4,60000
PCJ,PROTON,1,60,0.047,6,28000
DCM,TOYOTA,1,72,0.0395,5,50000
TPI,HONDA,1,108,0.0394,6,106000
SPI,NISSAN,1,60,0.0384,6,100000
TPI,TOYOTA,1,108,0.0403,6,77000
PCJ,PROTON,1,48,0.0451,9,45000
KKB,TOYOTA,1,108,0.0405,9,90000
SRB,HONDA,1,108,0.0403,6,70200
TWU,PERODUA,1,84,0.047,5,25300
PCJ,NISSAN,0,108,0.0404,7,97000
JLG,TOYOTA,1,84,0.0391,3,54000
KTU,PERODUA,1,84,0.048,5,48000
MJL,PROTON,1,36,0.054000000000000006,10,21000
JLG,MERCEDES BENZ,1,108,0.0389,9,150000
TGM,PERODUA,1,108,0.047,5,31200
MLK,MITSUBISHI,0,108,0.0403,7,111000
KGR,PERODUA,1,60,0.0478,3,25000
KPL,PERODUA,1,108,0.045,4,50400
TPI,PERODUA,1,84,0.0455,5,39300
CGL,TOYOTA,0,60,0.0401,5,50000
SKM,PERODUA,1,108,0.0489,5,36000
KRP,PROTON,1,108,0.0469,5,66600
BMC,MAZDA,1,84,0.039,7,91000
SRB,HONDA,1,108,0.0386,9,154400
BTU,HONDA,1,108,0.0403,6,75200
SPP,PROTON,1,108,0.0397,7,114000
KTA,MAZDA,0,108,0.0406,7,110000
ATH,TOYOTA,1,108,0.0392,5,71000
KPR,HONDA,1,108,0.0401,6,100000
TPI,PERODUA,1,108,0.0494,6,51400
KLG,PERODUA,1,84,0.0475,10,30000
KLA,HONDA,1,60,0.0389,9,110000
PCJ,HONDA,1,108,0.04,8,105000
RUB,PERODUA,1,108,0.0455,5,51300
BTU,PERODUA,1,84,0.0418,1,51800
KRP,MITSUBISHI,0,108,0.0404,6,101000
IPP,HONDA,1,108,0.04,5,101000
TWU,MITSUBISHI,1,108,0.0392,5,76000
SWY,PERODUA,1,108,0.0479,5,50200
KTA,HONDA,1,108,0.0399,6,120300
SLG,MAZDA,1,108,0.0385,6,129000
SHG,PERODUA,1,84,0.0464,10,50000
KSG,PERODUA,1,108,0.0484,6,38900
KCH,FORD,1,84,0.0384,9,176000
TPI,HONDA,1,108,0.0388,8,125300
SAL,PERODUA,1,60,0.046,5,30000
KLA,PERODUA,1,108,0.0494,6,49200
DCM,PROTON,1,108,0.048,5,37000
KTA,PROTON,1,108,0.0399,10,95000
RHP,FORD,1,108,0.04,6,112500
BKI,PERODUA,1,108,0.0504,6,24000
KTA,PROTON,1,108,0.049,4,34900
TMD,BMW,1,60,0.0374,9,240000
SJA,PROTON,1,60,0.0385,6,80000
KC1,PROTON,1,84,0.0451,6,46000
KLA,PERODUA,1,108,0.0466,5,34600
UKP,SUBARU,1,60,0.0388,10,80000
TEQ,PERODUA,1,108,0.0464,5,42000
SKD,TOYOTA,1,108,0.0402,1,83700
GRN,HONDA,1,60,0.0387,6,70000
SKD,NISSAN,1,84,0.0397,6,60000
SS2,BMW,1,108,0.0387,9,276000
PCJ,HONDA,1,84,0.0391,8,100000
BKI,PROTON,1,108,0.0492,5,36000
KLG,PERODUA,1,108,0.0469,5,44700
BTP,PERODUA,1,60,0.0446,5,40000
BBM,PERODUA,1,108,0.0492,5,42500
BKI,PROTON,1,108,0.0395,6,101100
SRB,PERODUA,1,108,0.0422,6,71600
KMA,HONDA,1,108,0.0388,6,121600
PCJ,PROTON,1,108,0.048,5,37000
RWG,PERODUA,1,108,0.0468,5,36200
RUB,PERODUA,1,108,0.0463,4,38900
SBW,NISSAN,1,108,0.0412,9,68000
PCJ,NISSAN,1,84,0.0385,9,107000
DSC,HONDA,1,108,0.0396,5,52900
SDK,HONDA,1,108,0.0396,5,84500
TPI,PERODUA,1,108,0.042,6,50000
KMA,HONDA,1,36,0.0447,5,30000
KMA,PERODUA,1,108,0.046,5,44400
KLA,PROTON,0,84,0.0393,6,87000
KTA,HONDA,1,108,0.04,5,97000
PNG,PROTON,1,84,0.0394,9,102000
TJJ,NISSAN,1,108,0.0399,6,130000
RHP,MAZDA,0,60,0.04,9,75000
KJN,PROTON,0,108,0.0512,5,35600
PCJ,SUBARU,1,60,0.0382,9,95000
BKI,PERODUA,1,108,0.0493,6,36300
TPI,PROTON,1,108,0.0483,5,31400
RUB,PROTON,1,60,0.0388,7,100000
SKD,PERODUA,1,84,0.047,5,35000
TPI,HONDA,1,108,0.0398,5,72000
KTA,NISSAN,1,108,0.0408,6,64000
KTJ,PROTON,1,108,0.0505,4,33000
RUB,HONDA,1,84,0.0396,6,66000
MUR,HONDA,1,108,0.0398,7,100000
KTA,HONDA,1,60,0.0388,9,80000
SS2,NISSAN,1,108,0.0392,5,95000
SPT,PERODUA,1,108,0.0495,6,50000
KLA,TOYOTA,1,36,0.0412,6,45000
JLG,NISSAN,1,60,0.0387,9,100000
SJA,PROTON,1,60,0.0483,10,20000
MCA,KIA,0,108,0.0408,8,87100
PCJ,HONDA,1,108,0.0403,6,76000
TMD,PERODUA,1,36,0.0433,4,60000
ATH,NISSAN,1,108,0.0387,8,133000
SRN,HONDA,1,60,0.0392,6,110000
DGN,PERODUA,1,108,0.0475,5,25000
KMA,PROTON,1,108,0.0479,5,36800
SWY,HYUNDAI,1,108,0.0389,10,106400
IIS,PERODUA,1,108,0.0464,9,50000
TPI,VOLKSWAGEN,1,84,0.0398,6,60500
RJP,PERODUA,1,108,0.0485,5,39000
KLA,TOYOTA,1,60,0.04,5,50000
KMA,GREAT WALL,1,60,0.0438,6,57700
KEP,MITSUBISHI,0,108,0.0399,6,118500
TPI,MAZDA,1,60,0.0396,5,60000
KRP,PROTON,1,60,0.0449,9,40000
BTP,PROTON,1,108,0.0482,4,32500
SAN,PERODUA,1,108,0.0485,5,45000
SBW,PERODUA,1,84,0.047,4,35000
KLA,PERODUA,1,84,0.0413,9,72200
PCJ,HONDA,1,24,0.0534,9,20000
SRB,MAZDA,1,108,0.04,5,114000
KMA,MAZDA,1,84,0.0387,6,100000
TPI,VOLKSWAGEN,1,84,0.0398,9,72000
JTR,PROTON,1,84,0.0381,7,93000
SS2,HONDA,1,84,0.0409,5,36000
TMD,HONDA,1,84,0.0388,9,100000
RUB,PROTON,1,60,0.0465,9,27000
BBD,PROTON,0,48,0.0395,8,75000
BTP,PERODUA,1,108,0.0511,4,31900
SBW,TOYOTA,1,108,0.0394,7,79100
MLK,PERODUA,1,108,0.049,4,36000
MJL,PERODUA,1,108,0.0458,5,50200
TPI,PERODUA,1,108,0.0421,5,64200
MUK,PROTON,1,108,0.048,5,38000
KLA,MAZDA,1,84,0.0388,6,100000
SS2,HONDA,1,108,0.0404,8,71900
TPI,PROTON,1,108,0.0473,5,51200
JKN,HYUNDAI,1,84,0.0375,9,148000
TMD,HONDA,1,108,0.0401,7,140000
KMN,HONDA,1,108,0.0403,5,75700
KLA,PROTON,1,60,0.0386,9,108400
PNG,HONDA,1,108,0.0393,6,96000
BKI,PERODUA,1,84,0.0486,10,36200
TSK,NISSAN,1,108,0.0392,5,72000
SRB,PERODUA,1,108,0.0468,6,36000
KRP,SUBARU,1,108,0.04,6,137000
SAN,PERODUA,1,108,0.0469,5,34300
SS2,HONDA,1,108,0.0401,4,58000
TPI,PERODUA,1,36,0.0454,5,28000
BDR,PERODUA,1,108,0.0425,4,55000
KLA,PROTON,1,84,0.0453,5,43000
TSK,PERODUA,1,84,0.0475,6,31000
TPI,PROTON,1,84,0.0458,6,35000
KLA,TOYOTA,1,60,0.0396,5,60000
TPI,PROTON,1,60,0.0385,7,114700
TPI,PERODUA,1,84,0.0455,5,40000
ASB,PERODUA,1,108,0.047,6,67600
PCJ,PERODUA,1,84,0.0452,5,50000
PGG,PERODUA,1,108,0.047,3,50400
KLU,MAZDA,0,84,0.0393,6,110000
PAP,PERODUA,1,108,0.0419,5,72000
TPI,TOYOTA,1,108,0.0403,8,78000
KMT,TOYOTA,1,108,0.0392,7,75200
UEP,HONDA,1,108,0.0399,8,115500
KMA,TOYOTA,1,60,0.0384,6,130000
SRB,MITSUBISHI,1,84,0.0386,5,125300
DSC,PERODUA,1,108,0.0423,6,60300
KMN,PROTON,1,36,0.0481,6,35000
PCJ,MERCEDES BENZ,1,108,0.0396,9,222000
SS2,HONDA,1,108,0.0397,5,105700
KLA,PERODUA,1,84,0.0464,5,38900
RWG,MAZDA,1,108,0.0387,6,157500
TPI,TOYOTA,1,60,0.0394,6,65000
SRB,VOLKSWAGEN,1,84,0.04,7,52000
BTG,PERODUA,1,36,0.0427,5,18000
KMA,PROTON,1,108,0.0404,6,92500
DSC,PROTON,1,84,0.0465,5,29613
KMN,AUDI,1,60,0.0369,9,230000
PCJ,SUBARU,1,84,0.039,7,110000
JLG,TOYOTA,1,108,0.0391,5,83900
PCJ,BMW,1,84,0.038,9,140000
KLA,TOYOTA,1,60,0.0392,7,50000
TPI,PROTON,1,108,0.0484,5,31000
STP,PERODUA,1,108,0.0464,5,50900
TPI,PROTON,1,108,0.0399,5,95800
TPI,HONDA,1,108,0.04,7,110000
SS2,HONDA,1,108,0.0398,6,71900
BLK,TOYOTA,1,108,0.0401,7,66000
KMA,MAZDA,1,108,0.0388,6,113000
TPI,PERODUA,1,84,0.0459,7,31400
STW,HONDA,1,108,0.0399,7,137000
SS2,MAZDA,1,108,0.0387,9,130000
SPP,PROTON,1,36,0.04,9,80000
KMA,TOYOTA,1,60,0.0376,9,174000
PCJ,PROTON,1,108,0.048,4,35500
KMN,KIA,1,60,0.043,6,25000
BKI,ISUZU,1,108,0.0408,5,100000
JLG,PERODUA,1,108,0.0479,7,49500
BKI,PERODUA,0,108,0.0487,4,35000
BKI,PERODUA,1,108,0.049,7,40700
TDI,VOLKSWAGEN,1,108,0.0403,7,75500
KC1,HYUNDAI,0,108,0.04,7,129900
BKI,ISUZU,1,108,0.0389,6,101000
BTP,PROTON,1,84,0.048,5,20000
UTA,PERODUA,1,36,0.0494,9,30000
KMA,PROTON,1,84,0.0386,9,115000
SS2,PERODUA,1,108,0.0482,7,37000
BKI,MITSUBISHI,1,108,0.0389,6,103600
BTP,PERODUA,1,84,0.0458,4,35000
BTP,PROTON,1,84,0.0459,8,34000
TPI,HONDA,1,108,0.0394,6,62000
PCJ,PERODUA,1,84,0.0447,7,50000
KLA,MAZDA,1,108,0.0399,9,139000
PCJ,HONDA,1,108,0.0393,6,109000
JKU,PERODUA,1,84,0.0409,8,71400
PDN,PERODUA,1,108,0.0462,5,36000
SRB,MERCEDES BENZ,1,108,0.0386,9,350000
RHP,TOYOTA,1,84,0.0386,8,78900
SRB,MITSUBISHI,1,84,0.039,6,90000
KLA,HONDA,1,108,0.0405,6,65000
PCJ,PERODUA,1,84,0.0414,6,65000
SS2,HONDA,1,84,0.0388,5,78000
PAP,HONDA,1,108,0.0388,7,127000
PCJ,PERODUA,1,84,0.0463,5,40000
ASB,PERODUA,1,60,0.0414,6,50000
UEP,BMW,1,60,0.0374,9,250000
BTU,PERODUA,1,108,0.0482,5,45600
KMA,PERODUA,1,60,0.0451,6,35000
SRB,PERODUA,1,108,0.047,5,34000
KLA,PERODUA,1,60,0.0495,8,20000
MUR,PERODUA,1,84,0.0451,7,40000
KBH,PERODUA,1,84,0.048,5,38900
KMN,PROTON,1,84,0.040999999999999995,5,71000
NLI,TOYOTA,1,108,0.0404,6,70000
RHP,LEXUS,0,60,0.0371,9,240000
RUB,PERODUA,1,108,0.05,4,39000
BPP,MAZDA,1,60,0.0384,8,100000
TPI,PERODUA,1,108,0.0487,5,34600
KLA,PERODUA,1,60,0.048,7,23000
THO,PERODUA,1,108,0.0464,4,32700
BBT,PEUGEOT,0,84,0.040999999999999995,9,135500
TMD,HONDA,1,60,0.0385,7,60000
KLA,HONDA,1,108,0.0386,7,150000
TSG,PERODUA,1,108,0.047,5,50200
IIS,TOYOTA,1,60,0.0407,5,40000
BKI,ISUZU,0,108,0.0406,5,115000
PST,TOYOTA,1,84,0.0398,6,45000
TIN,TOYOTA,1,108,0.0388,6,80000
MUR,TOYOTA,1,84,0.0398,6,60000
MJL,PERODUA,1,84,0.0448,5,46700
TPI,PERODUA,1,84,0.0461,10,50000
BBD,PROTON,1,108,0.0397,8,114000
APG,MAZDA,1,60,0.039,9,137000
KLA,PERODUA,1,84,0.0457,4,37000
BTP,PROTON,1,48,0.0493,8,21000
RHP,PROTON,1,60,0.046,7,30000
TPI,PERODUA,1,108,0.0419,7,71000
SS2,HONDA,0,108,0.0399,6,115000
MLK,HONDA,1,108,0.04,5,60000
RHP,PERODUA,1,108,0.0473,5,32000
SEG,PERODUA,1,108,0.0463,2,46400
PKG,PERODUA,0,108,0.048,5,43000
PKG,HYUNDAI,1,72,0.0382,5,148000
BKI,PERODUA,1,108,0.049,4,38000
SHG,PERODUA,1,84,0.0471,7,46000
DPE,HONDA,1,84,0.0385,6,83000
TPI,MAZDA,1,84,0.0388,8,140000
RHP,PERODUA,1,60,0.0423,10,57000
TPI,PROTON,1,60,0.0389,7,70000
SRB,PERODUA,1,84,0.0415,5,64000
TPI,KIA,1,108,0.0407,8,90800
PCJ,HONDA,1,72,0.0394,6,60000
MUR,PERODUA,1,84,0.039,5,60000
KRP,PERODUA,1,108,0.0427,5,56900
PCJ,PERODUA,1,84,0.0404,5,70000
TPI,PROTON,1,108,0.0479,5,36100
KRP,PERODUA,1,108,0.0486,5,42000
RHP,PERODUA,1,108,0.0463,6,52700
PJC,PEUGEOT,1,108,0.0402,9,164000
AIT,PROTON,1,108,0.0404,5,95800
SS2,MAZDA,1,84,0.0387,9,120000
SBW,PERODUA,1,108,0.0465,10,35400
SRE,TOYOTA,1,108,0.0398,6,149000
BKI,PERODUA,1,108,0.0483,6,57000
RWG,TOYOTA,1,84,0.0395,6,67000
KC1,PERODUA,1,84,0.0413,9,73600
BTU,PERODUA,1,108,0.0427,10,73500
KTA,PERODUA,1,108,0.0424,4,73700
SBN,PERODUA,1,108,0.0472,5,33700
TAI,PERODUA,1,108,0.048,7,58000
PCJ,HONDA,1,108,0.0399,7,121000
TPI,PERODUA,1,84,0.0478,10,30000
SS2,MAZDA,1,108,0.0401,9,138300
SDK,PERODUA,1,96,0.0465,5,46000
KEP,SUBARU,1,108,0.0394,5,107000
TPI,HONDA,1,108,0.0399,9,128000
SRB,PROTON,0,108,0.0495,5,36600
RHP,PERODUA,1,108,0.0485,3,49200
JLG,TOYOTA,1,84,0.0391,6,63500
BDR,PERODUA,1,108,0.0472,3,34900
TWU,TOYOTA,1,60,0.0385,5,98000
KOT,VOLKSWAGEN,1,96,0.0418,7,140000
PCJ,MINI,0,60,0.0387,5,100000
PCJ,PERODUA,1,108,0.0476,5,50200
BBM,PERODUA,1,108,0.0492,5,34500
KRP,PROTON,1,108,0.0405,6,91900
SRB,PROTON,1,108,0.0498,5,48000
TPI,HONDA,1,60,0.0395,5,60000
TMD,BMW,1,108,0.0392,9,276000
JLG,TOYOTA,1,108,0.039,5,67000
SRB,HONDA,1,60,0.0405,6,52000
TPI,PERODUA,1,108,0.0465,6,49300
RUB,PERODUA,1,72,0.0418,6,60000
KTU,PROTON,1,108,0.045,6,56700
ASB,PERODUA,1,108,0.0495,5,44000
BTP,PROTON,1,108,0.0497,5,29400
BTU,ISUZU,1,108,0.04,8,124000
KLA,HONDA,1,108,0.0401,7,100000
MCA,PROTON,1,108,0.0509,5,29000
DSH,HONDA,1,84,0.0394,7,100000
TPI,TOYOTA,1,108,0.0403,6,79000
BLK,PERODUA,1,60,0.042,5,40000
TIN,PERODUA,1,84,0.0412,9,72300
TGM,PERODUA,1,108,0.0456,5,48900
DSH,PERODUA,1,84,0.0414,5,64260
IIS,PROTON,1,108,0.0475,4,43400
LKW,PROTON,1,108,0.049,3,34500
LBN,TOYOTA,1,36,0.0397,9,90000
IIS,HONDA,1,72,0.0402,7,60000
SAT,PERODUA,1,108,0.0483,4,22000
PNG,PERODUA,1,108,0.0502,5,36800
BTP,PROTON,1,108,0.0476,5,33000
BWT,TOYOTA,0,84,0.0394,6,100000
PCJ,KIA,0,108,0.0407,6,85500
KTA,PROTON,1,108,0.0483,4,35400
PKG,PERODUA,1,108,0.048,5,50400
KRP,TOYOTA,1,36,0.0477,5,20000
BKI,TOYOTA,1,108,0.0405,6,131700
PTN,TOYOTA,1,84,0.0392,5,71500
KJG,TOYOTA,1,36,0.0397,9,80000
BTP,NISSAN,1,108,0.0392,7,135300
PCJ,HONDA,1,108,0.0392,9,139800
TSK,MITSUBISHI,1,36,0.0393,9,100000
BTU,TOYOTA,1,84,0.0396,5,82000
IPH,PERODUA,1,108,0.047,5,32700
BTP,HONDA,1,108,0.0403,5,72500
TPI,PERODUA,1,84,0.0457,6,34900
KMA,PERODUA,0,108,0.0484,5,38900
SBK,BMW,1,84,0.0375,9,150000
KLA,PROTON,1,108,0.0486,3,34500
PCJ,PERODUA,1,72,0.0466,5,42000
IIS,PROTON,1,60,0.0452,9,36800
PCJ,PERODUA,1,108,0.0434,8,64000
TAB,HONDA,1,60,0.0381,9,100000
DCM,MITSUBISHI,1,108,0.0398,9,132000
SS2,HONDA,1,108,0.0406,5,73000
SBW,MITSUBISHI,0,108,0.0403,9,98000
PCJ,MAZDA,1,108,0.0387,8,147600
BTN,PERODUA,1,108,0.0485,5,39300
PCJ,MINI,1,84,0.0381,9,194000
BKI,NISSAN,1,108,0.0409,6,65500
